State County Code,Year,ALAND,AWATER,INTPTLAT,INTPTLONG
13233,2016,803772833,4667496,33.996015,-85.188338
13235,2016,645061947,5560186,32.238794,-83.481855
13237,2016,892634163,41539480,33.321060,-83.371790
13239,2016,391703078,24158294,31.862948,-85.004801
13241,2016,958633962,17841690,34.883949,-83.404859
13243,2016,1109126239,6830041,31.762651,-84.752311
13245,2016,840008393,11042219,33.361487,-82.074998
13247,2016,336205277,5926396,33.652081,-84.026370
13249,2016,432284456,2376387,32.263441,-84.322724
13251,2016,1670803487,27888992,32.744751,-81.617585
13253,2016,609245340,55231605,30.933894,-84.867592
13255,2016,507333988,9602978,33.262389,-84.286067
13257,2016,463948063,13121983,34.552914,-83.290216
13259,2016,1188153047,12599265,32.073225,-84.834912
13261,2016,1250171323,25796111,32.042198,-84.204260
13263,2016,1013691982,8737088,32.704603,-84.530029
13265,2016,504031039,1915743,33.559319,-82.875272
13267,2016,1241953434,22864021,32.043768,-82.059208
13269,2016,975611444,7803733,32.554667,-84.251426
13271,2016,1132610582,17366926,31.913639,-82.931062
13273,2016,868785320,5861795,31.777191,-84.439446
13275,2016,1410511577,19726755,30.864606,-83.919820
13277,2016,675665505,20495108,31.457003,-83.525931
13279,2016,942770567,18093855,32.126698,-82.332071
13281,2016,431313631,13975835,34.902529,-83.732264
13283,2016,516536217,7805621,32.409586,-82.570882
13285,2016,1072232630,82803338,33.034482,-85.028360
13287,2016,739164629,11881239,31.724800,-83.620319
13289,2016,928284540,10933791,32.665847,-83.425879
13291,2016,833892441,18273564,34.833333,-83.989257
13293,2016,837696990,10663279,32.881837,-84.292281
